Origin,Destination,Distance,Time
13,64,586,99
13,65,934,161
13,66,934,161
13,67,603,101
13,68,913,154
13,69,252,45
13,70,579,97
13,71,601,172
13,72,369,64
13,73,499,86
13,74,165,30
13,75,729,123
13,76,842,141
13,77,1530,311
13,78,1530,311
13,79,680,115
13,80,1764,350
13,81,661,115
13,82,673,113
13,83,561,95
13,84,241,43
13,85,556,97
13,86,543,161
13,87,661,115
13,88,1063,178
13,89,450,79
13,90,859,146
13,91,738,185
13,92,612,103
13,93,1070,184
13,94,1312,216
13,95,915,154
13,96,875,149
13,97,1033,175
13,98,649,112
13,99,984,166
13,100,966,235
13,101,943,160
13,102,719,122
13,103,794,134
13,104,748,127
13,105,768,130
13,106,1064,179
13,107,369,64
13,108,582,98
13,109,808,136
13,110,808,136
13,111,934,161
13,112,627,135
13,113,905,152
13,114,216,40
13,115,860,148
13,116,741,124
13,117,649,109
13,118,253,45
13,119,896,152
13,120,736,123
13,121,23,4
13,122,1009,171
13,123,977,164
13,124,405,96
13,125,623,134
13,126,623,104
13,127,1202,206
13,128,684,117
13,129,736,123
13,130,1019,172
14,1,1055,184
14,2,344,62
14,3,344,62
14,4,610,106
14,5,793,132
14,6,793,132
14,7,530,91
14,8,125,23
14,9,945,169
